Club,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle
Sint-Truidense VV,66.74696898952119,67.24241549881289,68.57246174972873,69.8000657552891,61.721615370439096,73.0577786266559,68.6232483162142,64.34620315628116,69.11675705411216,71.92154801066143,79.72808251420223,80.29357315957091,79.79721447656365,67.81189706444526,78.30465145097618,71.03462197090789,78.1428034281109,73.64817452363017,76.93454959108456,68.19433489342939,74.12374472701977,67.05122034086213,67.94510305673333,68.54316424184854,66.690285484843,71.98834208844136,66.2522061968305,66.0764185064296,64.63143817267441
Carpi,63.60628684516288,61.110803488964784,67.80836179000012,69.1656764079137,56.345828892690506,69.4505290246861,60.65449652766739,53.66570765217885,65.00669049623122,70.98748748561651,77.13803947962974,79.37858966548032,78.07185707273759,65.14444402462748,76.37170763242706,66.5027603034904,75.60215165282156,77.29430934088937,80.71818266335272,57.96892009457822,70.39531386668155,63.59841606270911,63.29417448594696,62.260754603718695,61.94829668158152,69.83844437539786,62.8689439714858,65.23903444375888,63.63363948541921
Al Fateh,62.901686335835635,58.43473427478558,62.19467594784637,67.07128502888442,57.2543063252107,64.23391963059056,58.78603426210348,54.31456222043982,62.37978817547353,67.08804697056773,79.15476484171242,79.82293569764886,77.07062528545566,63.63075381635305,77.34106293552713,62.18746260955231,76.47012891772614,78.86642610127176,76.74374613745164,55.924015466982596,71.72927719375872,60.727639372093115,64.23515379123526,60.65167627826157,58.067621038142995,63.541603216126006,55.67757088123278,63.55318020694342,61.63341941677482
Royal Excel Mouscron,66.94392705205085,62.191669169461775,67.65722658280029,67.85988147105218,57.38402541221221,70.05058171640202,62.947295434986046,62.308460714941276,64.79600617444655,69.44732112744828,75.47719114059845,73.81589496205444,74.21663185367339,65.38031802009607,73.98490137852326,70.27632364752887,74.85710793406453,72.46473295958813,77.59803827294209,65.42255137659834,68.73599368147329,64.97823527118335,65.32588451771223,64.9140827646154,62.22202572212735,69.52509196998905,63.86417141687812,64.45474323381242,63.393968590063054
AC Ajaccio,66.2055833287937,64.29514899045343,66.46466545938438,70.58762200707673,58.865152026796004,68.55377918339354,67.25722597917478,60.12716184602567,66.62445360083473,69.15662218758538,73.46571841348954,74.08255976630953,80.17329764952474,65.52046375424266,80.4914676819308,66.72359401369769,77.41193322994229,79.2876402805617,75.56951285449905,63.71687352923032,73.6993706946011,64.01618005554913,65.31095062149633,66.64940631472187,65.60345947784623,66.54044628433878,61.99149514405493,65.07526600016232,61.827938567907594
PEC Zwolle,65.58587979690188,61.84535143121375,63.62312543305598,69.12426072513139,58.213271795219136,71.46874322827595,65.28592720975016,65.30571055051024,66.53811665699646,71.65235687229271,79.93779908218647,80.74589024974298,76.69032783149903,65.36125521083727,77.2839023765987,72.24719413663045,77.27427728534241,78.158867111055,73.49639758405193,67.83473335286405,73.97529253463782,65.03437214801974,64.99903131343488,66.55422237850252,64.13107952479704,69.52346396077053,62.01437644910775,64.71041067649256,64.5651463910691
Sunderland,66.42369490017411,63.39421468829308,64.50519158803749,68.39179552113174,59.80328704402054,70.18792051204983,64.71602013117537,62.06961888642487,66.73424116867196,69.71623033968046,76.66589121653988,75.82808954201501,76.94569388724177,66.96940988700827,77.0720376090438,69.90748041942474,75.92843869881756,76.25926898270963,75.57978592287738,64.4988056242912,75.6468352883864,63.44985145565303,64.24192901937509,65.24132182514836,65.75255080292978,67.99365164653828,64.74125321511771,67.37753396584752,66.4479928662522
US Salernitana 1919,69.22597446910613,65.34400172922496,69.41224044666927,71.60196006687795,63.28864425878383,69.98493405921863,67.98535501626242,66.57551990167724,68.44585343393354,71.36344209359237,81.37142349076268,80.4257575265293,78.89136183738694,70.04210159479527,80.89119302895215,71.4869839116028,77.76431336178953,85.22999550432368,82.84121827520464,67.05997451545946,74.5475826853549,67.64654898756028,67.82029118539181,68.80006198356405,65.89054897720082,69.81686807616957,65.7839161776859,69.40615720278093,67.92401128047818
FC Lorient,65.79406831106512,65.76901100311474,68.00885314486429,69.47521432486553,58.90526522436589,69.0303592009641,60.57233063514488,62.22516785302106,66.87941962836777,68.9713204956056,80.07347393280604,80.90856936905539,79.14454196364721,67.12280308958304,81.40053079030564,69.54133283642432,77.76811719404832,77.51904538914378,77.8689399745879,63.82750124238684,71.52158375095624,66.53151041630045,65.36413437664154,63.92986198082553,64.30660425839845,66.68213756792566,65.61976383625058,68.79428999030758,68.18088707884294
Argentinos Juniors,64.91777609630483,64.87452157192863,66.43646857843578,68.83660888356772,61.49282632512962,71.44733001086733,66.71015585887277,66.05008591995461,65.89506273203746,71.29080654610783,75.64117772766544,76.07312093414454,74.19770122645174,67.91659607810602,76.30712382040389,69.00124475401357,75.70886420584765,72.95696896471811,76.14573908433988,64.20422663477413,71.13294140507477,66.21951985280714,66.36640802439997,66.71405420935542,67.03803106495006,67.87235710331596,68.0296050693117,66.83876827852465,65.8891954914902
AD Alcorcón,66.50733750929534,64.88249317835414,67.45105626051932,71.3059013439345,64.23403873721598,70.08211306967087,66.03479758248577,63.83003148887932,66.91742294279521,70.15948352948527,76.57516458924714,74.64691731179713,82.2560910658181,70.4000240485811,82.79891213443062,72.21500330349386,78.25572759683135,77.16225031552283,80.63304429268571,63.07550055958918,75.2989888714997,70.67062764821345,68.55170300192336,67.49517456440505,65.86185236570645,70.87177869193096,66.46092816839112,69.6669666415962,68.56657618194167
CD Everton de Vi<U+00F1>a del Mar,63.05879177995187,62.90503746585807,67.0365788479513,67.31911103030168,51.32896256799419,66.87350869262382,57.41243472579778,50.15307850009781,64.88953556246962,68.91048000779439,77.7394138206274,78.67463529678285,75.01785561063492,63.92743338991623,78.5895246092282,63.940283983499114,74.44053919917111,76.21910251280038,73.83737317359474,59.74476895921717,68.12050781574257,63.647785554765996,65.421866359508,60.267664883435735,59.892684070385286,63.05647300674731,63.37819091547774,65.03955097686236,61.827099167169955
Crotone,67.87931493326964,64.63890697224859,68.92004252805437,70.0705787168538,63.29765237270366,71.19647605614256,64.36146989388334,58.870630295163785,67.2680265149059,71.08415859320982,72.33166313362516,71.35820444961448,75.97295409160905,70.00250306433259,75.58580048663508,70.4684068058568,71.21801078640341,79.10690306799786,75.98120119450658,64.39000775026713,74.10665842612555,64.09079480385685,68.83307581684637,63.928305011921246,62.961067831005096,69.11266455379418,62.67440076265545,65.60162809962961,64.01639822050397
Excelsior,66.33220161958641,62.680772772962435,65.01847913930845,67.90910648155602,60.520903839919086,69.55526555738005,69.9955652403679,67.01237576294487,65.87346082190915,69.77151617687007,79.82873856229813,78.86699822452283,76.3457013912988,64.45723034094254,76.84969655369856,67.06110185336833,73.08703311776716,72.16919019281386,73.8918408264032,63.253938578002135,69.75993156656233,63.614658609195914,65.94609358901234,65.82999621182022,64.6813475801763,68.80076006713954,64.58399058036775,64.26271682160215,60.13688357756046
KV Kortrijk,67.67323706288607,66.39307671127072,68.14247436829321,69.85589570648152,67.35338859286358,71.06521806508326,65.93104271941583,64.13504344977878,68.07519536249869,70.9416154806851,79.54124591927413,79.18272969205147,78.20469679551637,68.43237773060967,81.90300419851509,73.04224793106633,80.13472345171422,79.99387253528636,80.72437940880434,69.42636566905885,73.74354713537706,68.42251619874172,69.52493553521144,68.38201309448802,64.82564145338938,72.6008408626057,66.54866375647393,66.25647793981157,65.22215151228697
IFK Norrk<U+00F6>ping,60.113621281768324,63.1739208659357,59.153558523632036,70.59162067648633,60.125171282367674,69.33613284797269,65.87670618398228,62.74227195617248,68.08655066877171,70.12730217622017,77.00902112810182,78.71677641779077,76.47535530442427,66.8770575529658,74.97221722402129,68.17305588771964,74.70628480647842,76.18412161021907,74.09192027353647,64.46682349323686,73.48863472889118,65.36157329787945,67.01091950950341,68.60374809646848,59.48737156761027,68.68817953423557,63.746636459669546,62.98110680810715,59.825629339046706
Adelaide United,61.99322720253283,60.12081592937528,58.81931791899704,65.58879755012792,54.13447351580777,66.8710298046557,61.755202958236474,59.9322892810219,61.560002889319485,65.82071142436013,77.05531822842383,76.00303038882483,76.70371699198388,65.28980241331452,74.64267033888197,67.41657152984945,76.02688146059064,75.6395337300448,77.11807081849017,59.7958649317601,66.59386033459276,61.259084197294456,62.65512366911252,64.46211230105345,59.75366836180142,67.20069598749632,58.24155766207584,62.25191733653135,59.476150933139834
FC St. Gallen,64.37758462237868,59.48605364103259,62.943110884067615,69.15432392586975,55.49716326444952,67.24653744450784,63.69347941307645,60.052654511803375,63.888734584119526,67.72321957909362,79.50393912038746,80.5056327123928,76.88184477578962,66.62249567670452,75.519418437621,69.23661976879661,78.51234691290509,76.28386747357384,72.09637495531535,62.73594814336348,65.13884208240741,60.40038345371263,64.9646860633786,66.97008748320391,62.49331211960273,63.24477695494303,61.322071501086405,63.0271823147186,61.752529358893405
Tiburones Rojos de Veracruz,64.40269553260582,59.641360561807176,67.98678919699798,67.67321079229411,55.00824843441304,66.41284658952962,67.196888060974,62.77298735873367,62.63432975552912,67.15383331152184,79.32835973016726,79.28163716008271,79.17694553407685,66.59265291242501,78.75853121557994,70.75575420765507,77.429719834751,77.07017427811036,80.9407386476677,64.74467175669069,72.45184760875536,66.13182467374011,65.0714565788721,65.0005801799447,66.40662635051294,67.9875987113368,64.044026963673,66.42556849067378,64.36451807679714
CD Palestino,63.49287793420206,63.848901905715046,66.16392475605936,69.92426568661399,57.202383639982244,67.203156715451,63.17454359198967,62.862839914648866,66.52887799974471,70.3613648565419,74.8455253563407,75.32599915719258,75.55429124661653,64.25789870337745,76.62537400637179,66.90560124732175,78.24609359669984,78.92389669237555,75.43139595194087,65.67101897642513,69.57086825885294,64.94100502997361,67.6029946459538,64.70813005289054,65.62808426013176,67.94980602831616,66.02744988988303,67.26473644301377,64.32333794332126
Jeju United FC,63.17051175426937,64.13086811265632,66.43734787134791,69.30414489142711,58.41739216619159,65.90421603988239,63.249178711589984,61.0176846327336,66.18628743068638,67.00181070675252,78.26023835715075,76.33997219363145,79.08774627192311,67.95439363330372,80.50239190133048,69.02534461277934,78.85839457850466,77.0538323512279,80.8622348034164,66.25345277043117,70.12581231026907,66.4312263508069,70.55101025870707,68.859506459441,59.59280430267344,63.84179072577025,66.13132223169814,67.27272577285814,64.54744059020835
Deportes Tolima,65.32064666792532,61.177630804491486,70.48824523437551,68.96943678592882,55.76746564402546,69.1516080356014,57.11198761189379,59.15214260546162,66.82800403179226,69.55442536856525,75.58287666439969,77.55428830905825,76.24752460510611,68.49191527097679,76.5933618341054,68.92622327541523,77.78901783068446,78.26884618678858,81.2192988119683,61.45859780820848,71.32774304936768,67.2692674096088,65.4653597240491,66.60998380552468,62.18652516642231,66.93106131263612,64.76144145900652,69.57270086140326,65.73395914757177
KAS Eupen,67.03834580459365,63.88557465899637,67.03501447685204,69.29720427584901,64.6083031001233,69.67758989890444,69.17309157494066,67.42690543434176,67.3705075704483,70.11744709768833,79.98623790644845,78.5632366772515,80.73712562972585,68.1918454282311,78.07396560974678,73.41882781668681,79.1736305829354,73.08885172025171,77.19679580215485,68.43772783544314,73.20001829552992,65.8852491651243,68.61398361633536,66.63119209793912,65.47311626913435,71.14474750980793,67.2476540106034,66.13853364412755,64.06626939415877
Jeonbuk Hyundai Motors,68.66043078525347,66.8580136140938,70.61683007168422,71.06469097494525,67.32525353443114,66.94236706975703,70.52652706467099,67.43939210694066,67.04211378658214,68.72866345808984,78.03056116250386,76.85069469589688,78.76690057854367,69.99761315861032,74.44797583070546,70.69165339123913,81.19944487780832,76.7284378518604,81.07430116574474,67.46023372947118,74.97066950839395,69.19399835073769,70.06562442042843,69.41892274164042,69.55776167112597,69.04334108120071,63.02088210727745,69.20482371667337,67.23339998706825
Birmingham City,68.01006257226437,65.7846733065669,70.48927543890973,66.5625391671913,62.410986603249135,70.10942194991696,65.49946101334629,63.33450630844265,65.87127438171979,71.2493163688197,81.32250745041884,81.14736870885095,74.7051993618623,68.49966510071614,75.17477816212315,75.09582224292316,79.70079277251345,77.60377073059428,80.07512247884792,68.91309082065142,76.97145341652755,67.1524473774809,65.68788944180527,65.76405013448424,66.80715965534566,69.03986588919683,66.3562924649929,68.90063952874071,66.38510604365706
América de Cali,63.22467500137235,63.19549358412756,68.43689064595961,68.07272805312236,58.02785314088775,68.60847484531202,61.22206711678007,58.364438332753444,65.63295481057794,68.05991863638225,80.8196533182331,80.98646340773873,80.67569263371881,67.53506906381158,79.07506302917763,71.08908370117872,74.21035682910438,80.17207380986012,81.08451540725308,66.38782867472645,69.53412594420583,66.3104715739679,65.90660454528107,65.64641158291224,63.228143875617256,66.70203924235382,63.27482351021761,64.29395043335781,62.712614943690674
